language,text,source
Amharic,ካብቲ ዝጋገይዎ ጌጋታት ህግደፍ ንኣቦና እንጦንዮስ ባዕሉ ኣሲርዎም ከብቅዕ፥ ኣቦና እንጦንዮስ መናፍቕ ኮይኖም ንሕና ኣውሪድናዮም፥ ህግደፍ ንኣቦና መንቀርዮስ ነቲ ክፉእ ውዲቶም ስለ ፈለጥዎም፥ ኣቦና ሉቃስን ግን ህግደፍ ንምሕጓስ ተሃድሶ ኮይኖም ሰጊግናዮም። ህግደፍ ኣብ ቤተክርስትያን ተዋህዶ ከዕኑ መጽሓፍ ቅዱሳት ኣብ ቤተክርስትያን ኣቃጺሉ ከብቅዕ። እቲ ዝነደደ መጻሕፍቲ፥ መጽሓፍ ቅዱስ ዘይኮነስ መጽሓፍ ርኩስ እዩ። ክብሉ ኣዝዩ ነውሪ ቃል ክጋገዩ ተገዲዶም። ኣቦና ሉቃስ ብዕድመ ልዕሊ 80 ዓመት እዮም ግን ሕጂውን ገና የጋግዮምን ይጻወተሎምን ኣሎ።,glot500
Amharic,መግቢ ሓደ ካብቶም ኣገደስቲ ኣብ ቅዲ ናብራ ኢጣልያ እዩ። ባህሊ ምእካብ ቤተሰብ ኣብ ምሳሕ ዕለተ ሰንበት ክሳብ እዚ እዋን እዚ ኣሎ።ፍሉይ መግቢ ኣብ ካልእ ግዜ ዘይዳሎ ድማ ይቀርብ።(ከም ፓስታ ፎርኖን ፓርሚጅያናን)።,glot500
Amharic,More in this category: « “ከግንቦት 7” እስከ ቂሊንጦ ማረሚያ ቤት (የወጣቱ ፖለቲከኛ የእስር ማስታወሻ)	ለጠ/ሚኒስትር ዐቢይ የፓርላማ ንግግር የተሰጡ ምላሾች »,glot500
Amharic,"እስቲ እንነጋገርና ይህ ድርጅት የ Weaparty Pride Festival በማድሪድ ውስጥ እራሳቸውን ይሸጣሉ እንዲሁም ብዙ ቪዲዮዎችን ያዋወቁ ናቸው, አንዳንዶቻችን በጣም ከፍተኛ ተስፋዎች እና ዓለም አቀፋዊ ክስተቶች እንደሚጠብቁን ነበር ... በተቃራኒው እንዲህ ማለት አይደለም. የአውቶቡስ አገሌግልት እና የደህንነት ሰራተኞች በጣም ኃይሇኛ እና አነጋገሮች እና አካሊዊ በሆነ ሁኔታ ጥቃት ያዯረጉ እና በዘጠኝ ሰዓታት ዘግይተዋሌ. አንድ ወጣት እዚያ እሁድ እሁድ በዌፓር ፐርቢክ (ደጃፍ) ውስጥ በፀጥታ በመገፋፈር እና ተጎሳቁለው ሲመለከት አየሁ, በጣም አሰቃቂ ነበር. በኩራት ግብረ ሰዶማዊ ለመሆን እና ወደ ክፉኛ ጠባይ እና እብሪት እጦት ወደ እነዚህ ቦታዎች ትሄዳላችሁ. የማያስተማምን ይመስለኛል.",glot500
Amharic,ቢሮክራሲ ዝምልካት ክንርእይ ከለና ኣብ ጀርመን ዘሎ ቢሮክራሲ ዝተሓላለኸ’ዩ፡፡ ዝደኸመ ቢሮክራሲ’ዩ ዘሎ ሓደ ነገር ንምፍፃም ብዝሕ ዝበለ ኸይዲ የዲሊ’ዩ፡፡ እዚ ድማ የጭንቅ’ዩ፡፡ እዚ ቢሮክራሲ እዚ ንኩሉ ማዕረ’ዩ ዝሰርሕ፡፡ ፍትሓዊ ንምግባርውን ፃዕሪ ይግበር እዩ፡፡ ገንዘብ ወይ ድማ ካልእነገር ከም ጉቦ ምቅባል ገበን’ዩ፡፡,glot500
Amharic,እንደሚታወቀው፤ በአሁኑ ጊዜ ኢትዮጵያ ላይ ሰፍኖ የሚገኘው ሕገ መንግሥት ሕዝቡን በቋንቋና በጠባብ ዘረኛነት በተመሠረተ የክልል ሥርዓት ከፋፍሎ ባስከተለው የእርስ በርስ መናቆር፤ አለመተማመን፤ መከፋፈል፤ አለመተባበር እጅግ አሰቃቂ መጠነ ሰፊ ስቃይ እያስከተለ ነው። በዘረኛነት ምክንያት በተከሰቱ ግጭቶች ምክንያት ብዙ ሺዎች ኢትዮጵያውያን ተገድለዋል። በሚሊዮን የሚቆጠሩ ኢትዮጵያውያን ተፈናቅለዋል። እጅግ ብዙ ሰዎች በተለይ ሴቶችና ሕጻናት እየተሰቃዩ ነው። በሚሊዮን የሚቆጠሩ ኢትዮጵያውያን ከሕገር ለመሰደድና በታሪክ ያስተናግዷቸው በነበሩ በዓረብ ሐገሮች ጭምር በዝቅተኛ ደረጃ ለመኖር ተገድደዋል። በጠባብ ጎሰኛነት መለያየት ምክንያት እጅግ ብዙ ንብረት ወድሟል። የዘረኛነቱ ጠንቅ፤ ፋሺሽት ኢጣልያ ኢትዮጵያን በወረረችበት ዘመን ከፈጸመችው አሰቃቂ የጦር ወንጀል ብሷል።,glot500
Amharic,ኣብ ሰነ 2016 ከኣ ህዝቢ ዓባይ ብሪጣንያ፡ ኣብ ፍትሕን ሕብረትን ከድምጽ ተሓቲቱ፡ እቶም 51.9% ፍትሕ መሪጾም። በቲ ውጽኢት ዘይተሓጎሰ ቀዳማይ ምኒስተር ዴቪድ ካብ ሓላፍነቱ ተኣልዩ ተሬዛ መይ ተኪኣቶ።,glot500
Amharic,ወድሰብ ግን ኣእምሮ ስለ እተዓደለ: ካብ እንስሳታት ልዕል ዝበለ እዩ። ይኹንምበር: ኣእምሮ ደኣ ይተዓደል እምበር: ብጥርሑ ወይ ብኸምኡስ ኣይረኸቦን። ነዚ ኣእምሮዚ ብምርካቡ: ነቲ ንእንስሳታት ከይሓሰቡን ከየስተንተኑን ብደመነፍሲ ዝረኽቡዎ ቅሱን ህይወት: ካብ ህይወቱ ኣርሒቑዎ ይነብር ኣሎ። ሰብ: ኣእምሮ ኪወሃቦ ወይ ከጥሪ ኸሎ: ብተወሳኺ ንምሕሳብን: ከምኡውን ነቲ ናይ ምሕሳብ ውጽኢት ዝኾነ ምጥርጣርን ጭንቀትን ስግኣትን ኪቕበሎ ተገዲዱ እዩ።,glot500
Amharic,"ይሄን ለማድረግ መነሳት ወያኔነት አይደለም። ጠላትነትም አይደለም። ኦህዴድ ፊንፊኔ ውስጥ የሚደረግ ሰልፍ ""በዲፕሎማቲክ ማህበረሰቡ ዘንድ ያሳጣኛል፣ መልካም ገፅታዬን ያበላሻል፣ ወዘተ "" ብሎ መሸበሩ ትክክል ሊሆን ይችላል። ነገር ግን ለመሪዎች ገፅታ ግንባታ ተብሎ የሕዝብ መብት አይታፈንም። ግዴታውን የማይወጣ መንግሥት፣ ግዴታውን ከመፈፀም ይልቅ በሽንገላና በድለላ ለመኖር የሚፈልግ መንግሥት፣ ገፅታውን ብቻ ሳይሆን ሥልጣኑንም ያጣል፣ ማጣትም አለበት።",glot500
Amharic,ሌሊቱ እየገሠገሠ ነው፡፡ ድካሙም እየጨመረ ነው፡፡ በዚያ የብርታቱ ሰዓት ያልመጡት አራዊት፣ በዚህ የድካሙ ሰዓት ቢመጡ ምን ሊውጠው ነው? የኦኮናሉፍቴ ወንዝ ከዐለቱ ጋር እየተጋጨ ሲወርድ የሚፈጥረው ድምጽ ይሰማዋል፡፡ ወንዙ ከዐለቱ ጋር የሚጋጭበት ጋ ሲደርስ መልኩ ቡናማ ይሆናል፡፡ ወዲያው ደግሞ አካባቢው ቀስተ ደመና ይፈጥራል። አሁን ግን ሌሊት ነው፡፡ ምን እየሆነ እንደሆን አያውቅም፡፡,glot500
