language,text,source
Swahili,"Tendo la ndoa kabla ya ndoa lilikuwa mwiko, hivyo haikuwa kawaida msichana kubeba mimba kabla ya ndoa.",glot500
Swahili,"Kwa miaka ya hivi karibuni ametoa kitabu chaUtendi wa Mambomambo (2007), Tungizi za Mnyagatwa (2008), Sengo na Fasihi za Kiinchi (2009) na Mashairi ya Mfungo wa Ramadhani na toleo la pili la Tafakuru ya Utu na Uhai (2010).",glot500
Swahili,Nawashukuru pia nyote mliohudhuria hafla hii ambayo ndiyo kilele cha maadhimisho ya miaka 55 ya Chuo Kikuu cha Dar es Salaam.,glot500
Swahili,"Hii ni kama baada ya kushangaza! Shukrani kwa ajili ya maneno na msukumo, safari! Hawana kwenda kusikilizwa.",glot500
Swahili,Sisi ni kuangalia kwa msichana au mvulana ambaye ni mama ulimi ni kiingereza kama sisi unataka kwa ajili ya watoto wetu wawili kuwa kabisa bi-lingual.,glot500
Swahili,"""Matukio yote yanayohusiana na Christmas na Mwaka Mpya yanapingana na utamaduni wa Kiislamu, na yanaweza kuwa na taathira mbaya kwa jamii ya Kiislamu.”",glot500
Swahili,"Mwanadamu ameongozwa na Mimi mpaka enzi ya sasa, anaishi katika hali hi, na anaishi katika mwongozo wa mwanga Wangu.",glot500
Swahili,net/ PIA FUATILIA HABARI MPYA ZA SOKA KILA DAKIKA ZA ULIMWENGU MZIMA KUPITIA KATIKA LINKS ZINAZOPATIKANA KATIKA WEBSITE YETU HIO.,glot500
Swahili,Kwa wasomao Biblia wanajua namna Mtume Paulo anavyoonya kutowakwaza ndugu kwa sababu ya vyakula (Rumi 14).,glot500
Swahili,Wakizungumza katika Kongamano la Mwaka la Uwezeshaji linalofanyika mkoani Dodoma wadau hao wamesema kuwa kuna ulazima wa wadau hao kujua mahitaji sahihi ya wananchi wanaohitaji huduma za uwezeshaji wa kiuchumi kwa kuwa kila kundi lina mahitaji yake.,glot500
Swahili,Alisema katika utekelezaji wa agizo la Rais wa Jamhuri ya Muungano wa Tanzania Joseph Pombe Magufuli alilolitoa Julai 31 mwaka huu la kuwapatia wananchi magwangala tayari mkoa umefanya hatua za awali kwa kutafuta maeneo tisa yatakayofaa kwa ajili ya uhifadhi wa magwangala.,glot500
Swahili,"Wagombea watano wa tuzo ya BBC kwa mwanasoka bora wa mwaka 2015 wametangazwa kwenye hafla maalum iliyoandaliwa mjini Johannesburg, Afrika Kusini.",glot500
