language,text,source
Oromo,"Rifoormiiwwan tanallee inni akka waan keennaa isaa taheetti haa dhiyeessu malee, rifoomiiwwan kun gumoo fi gumaa qabsoo bara dheeraa saboonni fi uummatoonni Kuushii fi warri kaan adeemsisaa turanii ti.",glot500
Oromo,Abbaan koo inni anatti isaan kenne hundumaa irra guddaadha; humtinuus harka abbaa koo keessaa isaan butachuu hin danda’u” (Yohannis 10:28-29).,glot500
Oromo,"Tuuristoota Ispoortii ayyalaa irra adeemsisan, haala ta’umsa lafaa fi ayyalaa (the topography of this site and the George) ilaalun gamadaniif bakka mijataadha.",glot500
Oromo,Obbo Lammaan humna ibsaa mootummaan fedhii baayyee dabalaa jiru guutuudhaaf na gargaara jedhee waggoota sagal dura Hidha Haaromsa Abbayaa jalqabe keessatti kallattiin hirmaataniiru.,glot500
Oromo,Akkuma tasaa dhibamtee yeroo gabaabduu keessatti addunyaa kanatti nagaa dhaammachuun ishii dafee naaf amanamuu dide.,glot500
Oromo,"Goototni Qeerroon barattootni Oromoo fi Uummatni Oromoo magaalaa Naqamtee waraanaan dursifamaa, ajjeefamaa fi hidhamaa sirna abbaa irree gabromsaa jalatti hin bulluu jechuun ji’a sadii guutuu utuu wal irraa hin citiin Magaalaa Naqamtee keessatti Warraaqsii Jabaachuun mootummaa abbaa irree boqonnaa dhorkaa jiraachuu maddeen Qeerroo Bilisummaa Oromoo Magaalaa Naqamtee irraa gabaasaa jiruu, yeroo ammaa kanatti Magaalaan Naqamtee sochii warraaqsaa fi humna waraanaan raafama ulfaata keessa jiraachuun ibsame jiru, Goototni Barattootni Oromoo M/b Biiftuu Naqamtees gara Sochii Warraaqsaa kanaatti makamuuf akka jiran odeessi nu ga’ee ibsee jira",glot500
Oromo,Mootummoolee baay’een addunyaa guutuu irra jiran lammiilee isaanii imala barbaachisaa hin taane babal’ina dhukkubaa dhaabuuf akka hin taasisfne gorsaniru.,glot500
Oromo,"Hanga ammaatti saamudi namoota 219,566 laaboraatooriin qoratamee, namoonni 4,663 ta'an irratti vaayirasichi argameera.",glot500
Oromo,"8. Siyaasa Eeggadhu ~ dargagummaan nama onnachiifti, onneen qofti immoo eessanuu nama hin geettu. Siyaasa beeki, baradhu, sirritti addaan baafadhu, garuu akka jabdutti eeggadhu. Yoo ati siyaasatti garmalee gamtu nama heddutu akka malee sitti gama. Hedduutu sirraan tarkaanfatee, qilee si buusee ofii nyaachuu barbaada, kanaaf carraa hin kennin;",glot500
Oromo,Namni nageenya isaaf jecha maqaa isaa hin dhoofne kun daldalaa yoo ta'u duraan hanga sa'aatii sadiitti suuqii bannee hojjenna turre jedha.,glot500
Oromo,"Yaroo qarmaammee isaanii-rraa bahanii deebi’an mara, ummata zaalla-gaaffiin rakkuu, doorsisuu fii sodaachisuu hujii godhatan.",glot500
Oromo,23 DecemberLEENCI HAQA ISAA DHABE RAFEE HIN BEEKU HALKANII GUYYAA FALMEE HANGA HAQA ISAA GONFATUU GALEE HIN TAA’U!,glot500
Oromo,"Kanaafu hojii kamiyyuu keessatti niyyaan (intention) qalbii murteessadha. Niyyaan yoo bade hojiin badee jechuudha. Yommuu fedhii keenya hordofnu ‘Naa haa arganiif, haa dhagahaniif’ jenne namoota gammachisuuf garmalee carraaqna. Kanaafu miirri akkanaa yoo sitti dhagahame fedhii lubbuu hordofaa akka jirtu beekun itti qabsaa’i. Wanta sirrii fi Rabbiin gammachisuu hojjachuuf carraaqi.",glot500
Oromo,Odeessa kana irratti dabalata Daani'eel Baqqalaa(PhD): Itoophiyaan falmaa mirga namoomaa gameessa muudde2 Adooleessa 2019 Dhaabbileen mirga namoomaafi itti-gaafatamummaa isaanii10 Muddee 2019 Komishiniin Mirgoota namoomaa Itoophiyaa: 'Haalli qabiinsa mirgaa sirreeffamtootaa xiyyeeffannoo addaa barbaada'27 Waxabajjii 2020 Isin hin darbiin 'Zaraay Asgadoom dabalatee qondaalonni TPLF afur ajjeefaman'Sa'aatii 2 dura Kongirasiin US Joo Baayidan pirezedaantii kan itti aanu ta'uu raggaasise7 Amajjii 2021 Eelon Mask sooressa gameessa addunyaa kanaa ta'eSa'aatii 4 dura Maaltu haasa'ama?,glot500
