language,text,source
Hausa,MOC3023VM AMI Semiconductor / ON Semiconductor OPTOISOLATOR 4.17KV TRIAC 6DIP US$ 0.285 Bincikenƙara Siyayya,glot500
Hausa,Dr Amina ta ce a kokarin shawo kan matsalar a Najeriya duka matan gwamnonin kasar sun bullo da wasu shirye shirye na musamman da zasu kula da mata a lokacin haihuwa.,glot500
Hausa,"Tana nuna rayuwa da gwagwarmayar samari biyar 'yan Benin, kuma tana amfani da' yan wasan da ba ƙwararru ba. [1]",glot500
Hausa,"""A'a,"" in ji shi, ""muna yin nazarin Semalt don canje-canje a cikin jinin da zai iya shafar farashin jari. Bayan haka, fasaha na kwamfuta zai iya shiga cikin ma'amaloli wanda zai iya zama ɓangarori na dinari ɗaya kawai. """,glot500
Hausa,"Duk da yake binciko, Instagram masu amfani iya tuntube fadin sunan mai amfani da ganin wani comment ka rubuta a kan wani hoton.",glot500
Hausa,"Ardellalabbu Šabiya usula Ethiopia akumatatte kibinima kotengenowa itiriba kikki gasuyyana Eritrea agarala kelema mengelana asariba sanowayekin maltanasuma inamme. Kos kišima sulluma gomatowa Asmaralana ide komaldala Sawdi Arabiyala mimi fermonki dahaba faduba mikošigidayyana agarasi keka mola mišoma kosimme. Šabiya usula antata Esayas Afeworki inna sulluma tasa nsumena iňalliyabbu tillasuman ditta kabina ministerena otakema oynamme. Eritrea agarasina sesa kutella kišama kabariya serubala šas kola kišoma kosimme. Inna damanena Eritrea agarasi korma ekkenowa kišake. Inna baddala Ethiopia ambosso ilano mabuse kinolaki, bagana kittite olunasi kiminki, kanuna ellidde kususumowa kotakeyyana; Šabiya usula andabbu mabusa kililiki bagana kittitesi natakemme ski kormemowakin kofegeda kikoma sana tillasuma sadaňňana kosimme. Inna kišamowabbu kabine ministerekinna andiya Esayas tabilowa kokoybaki saniyakin kosanasi kokkelama antate šeb anala koddimowa baddala Higdef Fišša antata gos kinama Alamin Mohamed said sanakin iwi kišamala Finance Ministera gos kinama Abrehe Abraha mmowassi Esayas bagana kitaba nilattakedabbu sababoski ibin killimowana tamata inkalle kosibessa kotakemmowa koske. Inna baddala laga kiša arta kotakemma sababbu kiya fas gosuma suňadowa, anis kiki gas gosumowana kotakke.",glot500
Hausa,"Tattare da kasancewar waɗannan harsunan zakaru daga cikin harsunan cikin gida, ya kamata a san cewa harsunanmu sun fi ƙabilunmu yawa.[15] Muna da ƙabilu ɗari biyu da hamsi (250), amma harsuna (511 ko 373). Mafi yawn harsunanmu na Nijeriya ba su wauce jihohin da suke ba, ko gundumominsu. Harsuna goma sha biyu (12) ne kawai suka barbazu fiye da jihohi uku (3) na ƙasa. Daga cikinsu harsuna biyu (2) suka mamaye fiye da jihohi goma (10). Harsuna uku (3) suka mamaye fiye da jihohi bakwai (7). Harsuna biyar (5) suka mamaye fiye da jihohi uku (3). Ga ɗan jadawalin da na tsara don a ƙara tantancewa:",glot500
Hausa,Al’ummar jihar Plato na cigaba da yiwa juna huduba da neman mafita akan matsalolin tsaro da suka addabi wasu sassan jihar ‘yan kwanakin nan.,glot500
Hausa,"John da mahaifiyarsa da kuma ’ yan’uwansa maza da mata guda biyar masu ƙwazo ne a cocin Katolika . Kuma don haka , sun tsananta wa mahaifinsu don ya ƙi ya bi addininsu .",glot500
Hausa,Gotze mai shekaru 23 ya ji raunin ne a karawar da jamhuriyar Ireland ta ci Jamus daya mai ban haushi a wasan neman gurbin shiga gasar cin kofin nahiyar Turai a ranar Alhamis.,glot500
Hausa,"A wasan dab da na k'arshe, k'asar Urugwai (Uruguay) ta sha kashi a hannun Brasil watau Brasil ta mamaye ta da ci 3-1.",glot500
Hausa,"a baya. (Kuma babu wanda zai guje mata a gaba) haka lamarin ya kamata ya zama. Domin mutuwa ce abin da har zuwa yau duniya ba ta taba samar da irinta ba. Ita ce abin da ke kawo canji a rayuwa. Ita ce ke share tsohuwar al’umma don kawo sabuwa. A halin yanzu da nake muku wannan jawabi, ku ne sabuwar al’umma, amma nan ba da dadewa ba, watarana za ku zama tsohuwar al’umma, an share ku don kawo wata sabuwar ta maye gurbinku. Ku yi mini afuwa idan wannan",glot500
Hausa,"""Ban san irin hukuncin da ya kamata a ba mutumin da ya aikata wani abu irin wannan ba,"" in ji wani da ya bayyana ra'ayinsa a shafin Weibo .",glot500
Hausa,Sanarwar hukumar ta ce motar sojin ta gamu da hadarin ne a garin Aguelhok da ke da nisan kilomita 15 daga garin Kidal.,glot500
Hausa,"Gwamna Abdullahi Umar Ganduje kenan a wadannan hotunan yayin da wani basaraken jihar Abia, Eze Eberechi Dick ya nadashi sarautar zakin dake kare kabilar Inyamurai, gwamnan dai ya samu rakiyar matarshi Da sarkin Kano.",glot500
